Serial No.,Name of the Apartment,Coordinates x,coordinates y
221,"Citadel Magnum Sky Villa ,Lalbagh",12.866045,74.838161
222,"City Centre (M), K.S. Rao Road, Mangaluru",12.871282,74.842763
224,"City Market Commercial Shop ,Bhavanthi Street Road(C)",12.866045,74.838161
225,"City Plaza Complex ,Kudmal Ranga Roa Road(2000)©",12.876078,74.843695
226,"City Point ,Market Road,Mangalore©",12.874967,74.839844
227,"City Residency,Kudukori Gudda Road,Kankanady By Pass Cross Road",12.870334,74.859531
228,"City Tower, Near Rao & Rao Circle, Mangaluru",12.864131,74.837134
229,"City Walk ,Nellikai Road",12.863610,74.835078
230,"Classic Apartments, Bunts Hostel Rd, Mangaluru",12.874263,74.848615
232,"Classic Harmony, Kankandy, Mangaluru",12.868484,74.859429
233,"Classic Heights, Hathill, Mangaluru",12.889666,74.840149
234,"Classic Heritege,Kankanady, Mangaluru",12.870684,74.861079
235,"Classic Home Apt,Morgans Gate Road",12.852414,74.852265
236,"Classic Krishna, Kodialguttu,East Rd, Mangaluru",12.881286,74.844798
237,"Classic Legacy,Arya Samaja Rd, Mangaluru",12.875922,74.852194
238,"Classic Paradise, K.S.Rao Rd, Mangaluru",12.872384,74.843233
239,"Classic Popular, Kankanady, Mangaluru",12.870997,74.860719
240,"Classic Presidency,Kankanady, Mangaluru",12.870219,74.858915
241,"Classic Ruby ,Shakthinagar",12.901156,74.878211
242,"Classic Sapphire, Shakthinagar, Mangaluru",12.898363,74.876893
243,"Classic Signature ,Kadri Road",12.880612,74.857813
244,"Classic Symphony ,Kankanady Bye Pass Road",12.868125,74.859457
245,"Classic Villa ,Kankanady, Mangaluru",12.869409,74.862166
246,"Classic Village ,Shakthinagar",12.902333,74.876974
247,"Classic Villament, Kankanady, Mangaluru",12.870813,74.861223
248,Classique Gateway Pumpwell Circle,12.869940,74.863171
249,"Classique Manoor ,Arya Samaj Road",12.876103,74.851803
250,"Classique Popular ,Kudkori Gudde Road Kankanady",12.870863,74.860690
252,"Columbia Apt , Karbala Cross Road",12.875775,74.830210
253,"Columbia Residency,Subhash Nagara 1St Main Road,Yemmekre Road",12.850227,74.842245
255,"Concord, Falnir, Mangaluru",12.867920,74.852137
259,"Cosmos Apt ,Kadri Kambla Cross Road",12.880119,74.851220
260,"Cottage ,Bendoor",12.872731,74.857760
261,"County ( R) Lobo Lane, Mangaluru",12.877483,74.856263
262,"Cozy Corner ,Casa Grande Apt Road",12.854871,74.837402
264,"Cresent, Mangaladevi, Mangaluru",12.869115,74.847965
265,"Crest Apt ,Bejai Anegudi Road",12.891133,74.842221
267,"Crown Complex ,Azizuddin Main Road",12.869127,74.833465
268,"Crystal Apt, Bhangavathi Nagar Cross Road",12.877360,74.837532
272,"Dandekeri Residency ,Yeyyadi Road",12.898071,74.863742
273,"Danube, Balmatta Road, Mangaluru",12.870383,74.847242
277,"Datta Ashraya ,Mannagydda New Road",12.871399,74.833528
280,"Datta Crystal ,Hoigebail Land Links Road",12.894851,74.825664
281,"Datta Garden,Jail Cross Road",12.880174,74.842984
284,"Datta Orchard,Dominic Chruch Road",12.898902,74.832279
285,"Datta Oyster,Ashok Nagar",12.899911,74.826692
286,"Datta Palace,Gg Road",12.880090,74.835956
287,"Datta Paradise,,Kodikal Church Road,Urwa Store",12.900599,74.833161
288,"Datta Park,Sharbath Katte Road",12.892132,74.858778
289,"Datta Residency ,Gundu Roa Lane Road",12.882640,74.830805
290,"Dawaraka Enclave ,Kuntikana Kavoor Road",12.907630,74.849678
291,"Daya Sagar Apt, Jail Road",12.878828,74.862780
293,De Marvella Hoige Compound Road,12.885892,74.826963
294,Deanne Apt Alice V D'Souza Road Bejai New Road,12.889901,74.847012
295,"Deepa Apartments, Sunny, Kodialguttu, Mangaluru",12.880845,74.844536
296,Deepa Grandeur,12.881326,74.840391
297,"Deepa Mahal Apartment, Kulur Ferry Road",12.896660,74.835940
298,"Deepa Park, Ladyhill, Mangaluru",12.887650,74.837239
299,"Deepa Residency, Besant High School Road",12.877951,74.840483
300,"Deepa Towers, Bejai Main Road",12.885203,74.837292
301,"Deepanjali Aprtment, Bejai Main Road",12.885878,74.845987
302,Delma Residency Kmf Diary Road,12.890811,74.889355
303,"Delta Court, Maria Nagara 1St Cross Road",12.864748,74.851007
304,"Destiny, Mg Road",12.887748,74.836787
305,Dev Paradise,12.888011,74.861792
306,Dev Plaza,12.881609,74.855091
307,Devadan Apt Padav High School,12.882318,74.853540
311,"Dhalia,Kadri Nathooru Road To Kaibattal Road",12.883094,74.862289
314,"Dhruva Place, Hathill Road",12.894173,74.837052
315,"Dhruva Residency, Yekkur Fisheres College Road",12.857170,74.869466
317,"Diamond City, Jeppu Marnamikatte",12.852455,74.852059
319,"Diara Residency, Ashok Nagara Main Road",12.896175,74.830327
320,"Dilkush ,Bendorwell, Mangaluru",12.872478,74.856041
322,"Divine Homes , Savera, Bejai",12.889538,74.846942
323,"Divine Homes Fathima Gardens, Bejai Church Road",12.885671,74.848147
324,Divya Deepa Heights,12.888986,74.835831
325,"Divya Deepa Residency, Kadri Road",12.873343,74.862148
326,"Divya Deepa Towers, Ladyhill, Mangaluru",12.888397,74.835882
327,"Divya Enclave, Jail Road, Mangaluru",12.877887,74.842310
328,"Divya Paradise,1 & 11, Bejai, Mangaluru",12.890530,74.841793
330,"Divya Residency, Sriniasnagara 1St Cross Road",12.875792,74.861971
331,"Divyashree, Bejai, Mangaluru",12.889189,74.841172
332,"Diyashree, Bejai Kapikad Road",12.889573,74.841124
333,"Droiit Varacity, Silver Gate Road",12.889281,74.887988
335,"Dune ( R) Shivabagh, Mangaluru",12.880061,74.862677
336,"Dynasty ( R) Valencia, Mangaluru",12.861710,74.859079
337,"East End Apartment , Jeppu Market Rd, Mangaluru",12.848010,74.848233
338,"Eden Apartment, Ashoknagar Road",12.898900,74.833630
339,"Eden Apartment, Kodikal Main Road",12.899346,74.833656
340,"Eden Enclave, Kailas Colony Padavu",12.889634,74.863765
341,"Eden Paradise, Ksrtc Bus Stand Bondel Road",12.886894,74.850071
342,"Eesha, Lobo Lane, Mangalore, Mangaluru",12.877532,74.855897
345,"Embassy Court (Res) Falnir, Mangalore.",12.869511,74.847903
346,"Embassy Plaza (Commercial), Pumpwell Mangalore",12.869943,74.865729
347,Emerald Monkey Stand Road,12.851994,74.848553
348,Emkay'S Shalimar Kankanady Market Road,12.868127,74.858099
349,"Empire Mall, M.G. Road (Mall)",12.880280,74.840241
350,"Emporium ( C) Kankanady, Mangaluru",12.867572,74.858748
352,"Entity ( R) Pandeshwar, Mangaluru",12.856248,74.840461
354,"Essel Heights, Jyothi Nagara 1St Cross Road",12.902683,74.845606
355,Essel Wilcon (Commercial) Bendurwell Circle,12.870563,74.857257
356,"Evanna Homes, Kottara Daddalkad Road",12.903973,74.838769
357,"Everest Flat Point, New Monkey Stand Road",12.852401,74.846682
359,"Evergreen Apartment Falnir, Mangaluru",12.872378,74.855859
