Serial No.,Name of the Apartment,Coordinates x,coordinates y
1186,"Shilpa Palace, Upper Bendor",12.873353,74.855616
1187,"Shilpa Palace, Upper Bendor, Mangaluru",12.873417,74.855618
1190,"Shiva Prasad Gold, Land Links Main Road",12.906670,74.852214
1196,"Shivbagh Planet Apt, Arjun Road",12.875760,74.861777
1197,"Shivbagh Towers, Shivbagh Road (1998)",12.878365,74.861242
1198,"Shivdeep Residency, Shivbagh",12.879773,74.860225
1199,"Shivdeep Residency, Shivbagh, Mangaluru",12.879750,74.860227
1201,"Shravan Residency , Sanganikethan Road (New)",12.885556,74.830625
1204,"Shreka Residency , St. Dominic Church Rd, Urwastore M'Lore",12.901054,74.833718
1205,"Shreyas Apt , Kadri Kambla Cross Road (1999)",12.882204,74.847713
1206,"Shri Laxmi , Kadri, Mangaluru",12.883753,74.855800
1207,"Shri Laxmi, Kadri",12.883763,74.855761
1209,"Shridevi Apt , Wells Peta , Urwa Market, M'Lore",12.890947,74.827617
1210,Shruthi Enclave Mangalore ,12.852934,74.850573
1211,"Shubha Kiran , Anegundi Jn To Kottara ",12.892530,74.841880
1213,"Silver Gate , Kulshekar, Mangaluru",12.888233,74.887496
1215,"Silver Line (R ) Ballalbagh, Mangaluru",12.881692,74.840910
1218,"Silver Sand , Hoige Bazar",12.851650,74.837496
1223,Silver Streak Urwa ,12.897393,74.832605
1224,"Silver Streak Urwa, Mangaluru",12.897300,74.832470
1225,"Sim Centre ( C ) , Kadri Mangalore",12.879995,74.856430
1226,"Sindhu Enclave , Matadakanni 3Rd Cross Road ( New)",12.884517,74.827470
1227,"Sindhu Residency , Giri Nagara 1St Cross Road",12.907918,74.853510
1229,"Sky Pearl , Gokarnatha Temple Road",12.879537,74.828489
1230,"Sliver Sand, Hoige Bazar., Mangaluru",12.849996,74.837331
1231,"Smart Tower, Balmatta New Road",12.871824,74.849417
1233,"Land Trades Solitaire Apt, Chilimbi",12.894626,74.837610
1234,"Somayagi House Commercial Complex, Jyothi Circle To Bunts Hostel Circle",12.875633,74.848577
1240,"Sonal Apt , Attavara Nandigudde Road",12.861176,74.844720
1242,"Sonar Apt , Mahamayee Temple Road",12.872955,74.838062
1243,"Sony Paradise , Telicom Office Road",12.860321,74.840184
1244,"Sorake Fedora , Hat Hill Road",12.895003,74.838711
1246,"Sorake Iris , Sankaigudde Road , Bejai",12.891369,74.846597
1248,"Sowrabha Residency , Kadri Temple New Road",12.885238,74.850660
1251,"Spectrum Attavar, Mangaluru",12.859493,74.847924
1254,"Spring Dale , Kodical Main Road",12.899688,74.832928
1255,"Spring Fields Road , Kulur Ferry Road",12.877883,74.833577
1257,"Sri Devi Dayal  Canopus ,Kodical Main Road",12.899384,74.833282
1258,"Sri Durga Palace , Yeyyadi Road",12.898835,74.860575
1263,"Sri Mahamaya Sannidi , Ammambala Subba Rao Road",12.870789,74.838004
1265,"Sri Nidhi Gurji Centre , Gundu Rao Lane",12.882595,74.831404
1266,"Sri Nidhi Residency , Land Links Giri Nagara Road",12.907265,74.854587
1270,"Sri Nidi Gurji Centre, Gundu Rao Lane ",12.882591,74.831399
1272,"Sri Sharada Apt , Gandhinagara 7Th Cross Road ",12.887708,74.832640
1278,"Srinivas Apartments, Car Street, Mangaluru",12.871604,74.837586
1280,"Star Of Bombay , Old Kankanady Road ",12.869264,74.858296
1281,"Sterling Chambers (Com) Kodialbail, Mangalore",12.877901,74.839673
1288,"Sun View Apt , Neeti Nagar Road",12.881939,74.863399
1289,"Sundaram , Ahok Nagar Main Road To Shediguri Jn",12.898041,74.829323
1290,"Sundari Apt , Shivbagh , Mangalore",12.878471,74.859995
1291,"Sunshine Residency , Stp Park Rd , Yeyyadi",12.899653,74.857075
1294,"Sushma Apt , Bendore Road ",12.877446,74.856114
1297,"Swarna Deepa Apt , Sankaigudda Road",12.885249,74.845902
1300,"Sweet Home Apt , J.V  Rouch 1St Cross Road ",12.866282,74.849253
1301,Symphony ( R ) Sturrock Road ,12.864449,74.846906
1304,"Taj Palace , Rao & Rao Circle",12.864145,74.837106
1310,"Tasvi Misty, Bishop Victor Road, Mangaluru",12.859798,74.851124
1312,"Tawam Residency , Baidarkala Garodi Temple Road ",12.852329,74.853829
1313,"Tej Towers , Balmatta , Mangalore ",12.872108,74.848485
1315,"Telecom Apt , Chakarapani Temple Road ",12.858320,74.846132
1317,"The Abode Apt , Balmatta New 1St Cross",12.870887,74.854407
1320,"The Alexandria , Light House Hill Road ",12.871644,74.843552
1321,"The Asta Lakeside , Gujjarakeri Road ",12.846636,74.849039
1322,"The Gardens, Bejai, Anegundi Road, Mangaluru",12.890655,74.842206
1328,"Theresa Garden Streak Residential Enclave Opp.Bondel Chruch ,Airport Road",12.918788,74.868410
1329,"Thomson ,Jeppu Bappal Road",12.896723,74.829517
1330,"Thumbay Apartment, Coelho Road Falnir",12.866768,74.850498
1334,"Tirgis West Block, Planters Lane, Mangaluru",12.875540,74.849829
1335,"Tirgis, East Block, Planters Lane, Mangaluru",12.875540,74.849829
1336,Tokiyo Market G H S Road,12.866919,74.840699
1337,Tranquil Steak Residential Apatment Kulshekarshakti Nagar Road,12.886782,74.882484
1338,"Trinity ( C) N.G. Road, Mangaluru",12.865165,74.844641
1341,"Tulip Apartment,Valencia",12.861931,74.858979
1344,"Ujjodi Residency,N.H 17",12.909095,74.836706
1346,"Unique Streak,Jeppu Road",12.848053,74.849970
1348,"Unnathi,Pintos Lane",12.880593,74.845619
1349,"Urbania Homes,Shivabagh 1St Cross Road",12.878382,74.862949
1350,"Urwa Mansion,Urwa Marigudi Temple Road",12.900854,74.834031
1351,"Usha Kiran Apt,Balmatta New Road",12.866684,74.849093
1356,"Valeree Manor,Britto Lane",12.865106,74.848623
1357,"Valley Crest,Bejai Main Road",12.887885,74.849294
1358,"Valley View, Derebail, Mangaluru",12.902722,74.846281
1361,"Varashree Apt,Kadri Kambala Road",12.883667,74.849540
1363,"Vasulane Enclave,Vasulane",12.870043,74.853885
1364,"Vasundhara ,Urva, Mangaluru",12.891423,74.829247
1366,"Vazwin Sreak Apartment,Opp Roshni Nilaya",12.863572,74.857091
1367,"Veekay Park ,Kotekani Road",12.898718,74.837544
1371,"Veera Heights, Kodialgutu East 6Th Croos Road",12.883133,74.844616
1372,"Veera Palace, Kodialguthu Road",12.883378,74.844593
1373,"Veera Residency ,Kodialguthu 6Th Cross Road",12.882588,74.844076
1374,"Veera-Venkatesh , Side Of Field Street",12.871581,74.837500
1377,Ventura Bejai Main Road,12.887343,74.851112
1379,"Victoria Nr,Fathima Retreat House ,Valencia",12.861040,74.858031
1380,"Vienna Heights ,Hat Hill Road",12.888894,74.839755
1381,"Vienna, Shivbhag Road",12.877294,74.862317
1382,"Vijaya Enclave,Bhagvathi Nagara 1St Cross Road",12.881979,74.835545
1383,"Vijaya Nagat Apt,Jyothi Circle To Vijay Clinic",12.875512,74.848237
1384,"Vijaya, Lobo Lane, Mangalore",12.877581,74.855926
1385,"Vijayashree Arcade ,Nanthoor,Mangalore",12.871351,74.866066
1386,"Vijayashree Chambers ,Karangalpady,Mangaluru",12.876864,74.846749
1387,"Villa Silver Gate ,Kulshekar, Mangaluru",12.888246,74.887481
1389,"Vinayaka Arcade ,Bolly Road",12.847677,74.848654
1390,"Vinayaka Residency ,Gujjarekere Road",12.847196,74.849464
1391,"Vinayaka,Part Of M.G Road",12.887912,74.837398
1394,Vishwas Anmol Kadri,12.895057,74.853386
1395,"Vishwas Anugraha ,Pumpwell",12.863700,74.866909
1396,"Vishwas Asha Kiran, Vyasa Nagar, Yeyyadi, Mangaluru",12.895669,74.853535
1397,"Vishwas Avenue,B.V Road ,Falnir",12.864252,74.849264
1398,"Vishwas Carl Benz,Kadri Mallikatte Main Road",12.881560,74.862579
1399,"Vishwas City Walk,Hamiltone Circle To Mission Street",12.863659,74.835080
1400,"Vishwas Court, Pandeshwar, Mangaluru",12.857217,74.837323
1401,"Vishwas Crown, Kankanady, Mangaluru",12.867390,74.859864
1402,"Vishwas Crystal Bolar, Mangaluru",12.848539,74.842812
1403,"Vishwas Darshan Alvaris Road, Kadri, Mangaluru",12.884576,74.860302
1404,"Vishwas Diamond, Attavar, Mangaluru",12.866324,74.845680
1405,"Vishwas Dwaraka, Mannagudda, Mangaluru",12.879204,74.834778
1406,"Vishwas Garden, Vas Lane, Mangaluru",12.871145,74.853836
1407,"Vishwas Green View ,Gorigudda",12.861623,74.867114
1408,"Vishwas Green View, Pumpwell, Mangaluru",12.861649,74.867120
1409,"Vishwas Heritage,Nathoor Kaikamba Road",12.892949,74.889720
1411,"Vishwas Imperial, Falnir, Mangaluru",12.870043,74.851793
1412,"Vishwas Imperial,Falnir",12.870016,74.851822
1414,"Vishwas Jasmine,Falnir",12.864814,74.848534
1415,"Vishwas Jupiter, Pandeshwar, Mangaluru",12.853639,74.838553
1416,"Vishwas Jupiter,Pandeshwar",12.853620,74.838562
1417,"Vishwas Kuteera, Ballabagh",12.879157,74.836309
1419,"Vishwas Lalitha Residency, Behind Empire Mall, Mangaluru",12.877622,74.837191
1420,"Vishwas Lalitha Residency,Bhagmavathi Nagar Cross Road ,Behind Empire Mall ,Kodiabail",12.877621,74.837184
1422,"Vishwas Manor Falnir, Mangaluru",12.866328,74.848919
1423,"Vishwas Mithra, Kankanady, Mangaluru",12.870692,74.862002
1426,"Vishwas Natasha Residency, Urwa Ashok Nagara Road, Mangaluru",12.894514,74.827338
1427,"Vishwas Neha ,Capitanio School Cross Road",12.867276,74.867242
1428,Vishwas Neptune Bolar,12.848233,74.842857
1429,"Vishwas Orchid Pandeshwar, Mangaluru",12.853029,74.839884
1430,"Vishwas Pearl, Kankanady, Mangaluru",12.867768,74.859898
1431,"Vishwas Planet, Pandeshwar, Mangaluru",12.856852,74.841821
1432,"Vishwas Regency, Balmatta, Mangaluru",12.870697,74.851913
1433,"Vishwas Residency, Falnir, Mangaluru",12.869820,74.851457
1435,"Vishwas Royal, Falnir, Mangaluru",12.869820,74.851457
1436,"Vishwas Sagar ,Vyasa Nagara Road,Bejai Post Kadri",12.896485,74.853589
1437,"Vishwas Sahara Heights,Pandeshwar",12.857172,74.837318
1438,"Vishwas Samrat, Vyasa Nagar, Yeyyadi, Mangaluru",12.894671,74.853391
1439,Vishwas Sathyam Mission Gorigudda Road,12.884372,74.831748
1440,"Vishwas Spring Field Balmatta, Mangaluru",12.871839,74.854974
1441,"Vishwas Sujatha Residency, Kulshekar, Mangaluru",12.883815,74.880177
1442,"Vishwas Venus Morgan’S Gate, Jeppu, Mangaluru",12.847255,74.854627
1443,"Vishwas Venus,Mahakali Padpu Near Railway Gate Jeppinamogaru",12.847240,74.854620
1444,"Vishwas View,Pumpwell",12.861646,74.867102
1445,"Viva, Old Kent Road, Mangaluru",12.860875,74.840447
1446,"Vrindavan ,Gandhinagar,Mannagudda",12.883784,74.831533
1447,"Walk In Arcadia,Commander George Martis Road",12.883784,74.831533
1448,"Walk In Fantasy ,Kulshekara Chowki Road",12.883915,74.857009
1449,"Walking Fantacy ,Commander George Martis Road",12.883955,74.857013
1450,"West Coast Chamber, Monkey Stand New Road",12.852035,74.848050
1451,"West Coast Complex, Nelikai Road",12.862779,74.835805
1453,"West End Manor,Kankanady Bypass Road",12.870136,74.861727
1455,"West Gate Centre, Pumpwell, Mangaluru",12.869658,74.865961
1456,"West Gate Eternia, Marnamikatta, Jeppu, Mangaluru",12.853064,74.851534
1457,"West Gate Heights ,Falnir",12.865284,74.847025
1458,"West Gate Pride Falnir, Mangaluru",12.867428,74.852507
1459,"West Gate Rahil Residency, Falnir, Mangaluru",12.868447,74.855003
1460,"West Gate River View, Jeppinamogaru, Mangaluru",12.842601,74.850564
1461,"West Gate Terminus, Falnir, Mangaluru",12.867731,74.853518
1462,"West Gate Terraces, Pandeshwar, Mangaluru",12.855406,74.838868
1463,"West Gate Venezia, Valencia, Mangaluru",12.861683,74.863366
1464,"West Gate Venezia,Valencia",12.863318,74.863708
1465,"West Point, Matadakani, Mangaluru",12.885353,74.827952
1466,"West Wind ( R) Collector’S Gate, Mangaluru",12.875650,74.853786
1467,West Wind Collector'S Gate,12.875585,74.853786
1468,"Westgat Eternia,Marnamikatte Road",12.852987,74.851547
1469,"Westholme Apartments, Sturrock Rd, Mangaluru",12.866501,74.847754
1470,"Westline Fairmont,Karavali Lane,Kadri",12.883291,74.862395
1471,"Westline Signature,Nantoor",12.879604,74.863414
1472,"Westline Skydale,Behind Ahnanul Masjid Bikarnakatte",12.884869,74.870599
1473,"Westline Splendid,Behind Cordel Chruch Kulshekar",12.885710,74.889383
1475,"White Nile, Mallikatta, Mangaluru",12.880303,74.856517
1477,"White Stone Galaxy,Attawara Jain Compound Road",12.860258,74.850908
1478,"White Stone Gateway,Jumma Masjid Road",12.847504,74.855620
1479,"Willows Residences, Neermarga, Mangaluru",12.891999,74.910151
1480,"Willys Castle,Ballal,Garage Road",12.891519,74.849805
1481,Willy'S Centre,12.873104,74.852364
1482,"Woodville, Bondel, Mangaluru",12.921256,74.869144
1483,"Zainaba Arcade, Falnir, Mangaluru",12.867704,74.848601
